read_name	primer	expected_insert_distance	fasta_path	hash	read_length	run_name	sample_well	dye	run_start	run_end	abi_path	date
pFC9VR10-2021-12-15	pFC9_t7_primer_1	105	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR10_pFC9_t7_primer_1__2021-12-16_G09.seq	-1925643055123826081	999	2021-12-15_740612_135543_data	G9	Z-BigDyeV3	2021-12-16 05:41:11	2021-12-16 07:32:05	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR10_pFC9_t7_primer_1__2021-12-16_G09.ab1	2021-12-15
pFC9VR3-2021-12-15	pFC9_t7_primer_1	105	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR3_pFC9_t7_primer_1__2021-12-16_C09.seq	6961049535287912409	1000	2021-12-15_740612_135543_data	C9	Z-BigDyeV3	2021-12-16 05:41:11	2021-12-16 07:32:05	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR3_pFC9_t7_primer_1__2021-12-16_C09.ab1	2021-12-15
pFC9VR30-2021-12-15	pFC9_t7_primer_1	105	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR30_pFC9_t7_primer_1__2021-12-16_F11.seq	8991512001197389867	1000	2021-12-15_740612_135543_data	F11	Z-BigDyeV3	2021-12-16 05:41:11	2021-12-16 07:32:05	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR30_pFC9_t7_primer_1__2021-12-16_F11.ab1	2021-12-15
pFC9VR26-2021-12-15	pFC9_t7_primer_1	105	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR26_pFC9_t7_primer_1__2021-12-16_B11.seq	5894819079912814171	1000	2021-12-15_740612_135543_data	B11	Z-BigDyeV3	2021-12-16 05:41:11	2021-12-16 07:32:05	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR26_pFC9_t7_primer_1__2021-12-16_B11.ab1	2021-12-15
pFC9VR29-2021-12-15	pFC9_t7_primer_1	105	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR29_pFC9_t7_primer_1__2021-12-16_E11.seq	6498176176775523965	794	2021-12-15_740612_135543_data	E11	Z-BigDyeV3	2021-12-16 05:41:11	2021-12-16 07:32:05	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR29_pFC9_t7_primer_1__2021-12-16_E11.ab1	2021-12-15
pFC9VR23-2021-12-15	pFC9_t7_primer_1	105	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR23_pFC9_t7_primer_1__2021-12-16_H10.seq	-5940824917269465375	1000	2021-12-15_740612_135543_data	H10	Z-BigDyeV3	2021-12-16 05:41:11	2021-12-16 07:32:05	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR23_pFC9_t7_primer_1__2021-12-16_H10.ab1	2021-12-15
pFC9VR5-2021-12-15	pFC9_t7_primer_1	105	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR5_pFC9_t7_primer_1__2021-12-16_D09.seq	5011346567960166683	551	2021-12-15_740612_135543_data	D9	Z-BigDyeV3	2021-12-16 05:41:11	2021-12-16 07:32:05	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR5_pFC9_t7_primer_1__2021-12-16_D09.ab1	2021-12-15
pFC9VR20-2021-12-15	pFC9_t7_primer_1	105	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR20_pFC9_t7_primer_1__2021-12-16_E10.seq	7161418514158144761	1000	2021-12-15_740612_135543_data	E10	Z-BigDyeV3	2021-12-16 05:41:11	2021-12-16 07:32:05	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR20_pFC9_t7_primer_1__2021-12-16_E10.ab1	2021-12-15
pFC9VR6-2021-12-15	pFC9_t7_primer_1	105	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR6_pFC9_t7_primer_1__2021-12-16_E09.seq	6102716708665430986	713	2021-12-15_740612_135543_data	E9	Z-BigDyeV3	2021-12-16 05:41:11	2021-12-16 07:32:05	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR6_pFC9_t7_primer_1__2021-12-16_E09.ab1	2021-12-15
pFC9VR28-2021-12-15	pFC9_t7_primer_1	105	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR28_pFC9_t7_primer_1__2021-12-16_D11.seq	-7483233691613093195	997	2021-12-15_740612_135543_data	D11	Z-BigDyeV3	2021-12-16 05:41:11	2021-12-16 07:32:05	runs/midi-runs/2021-12-15_740612_135543_data/pFC9VR28_pFC9_t7_primer_1__2021-12-16_D11.ab1	2021-12-15
