read_name	primer	expected_insert_distance	fasta_path	hash	read_length	run_name	sample_well	dye	run_start	run_end	abi_path	date
VR3-C7-2021-11-05	VRI_primer_2	0	runs/2021-11-05_732275_133617_data/VR3-C7_VRI_primer_2__2021-11-06_F09.seq	4952549366549052875	1000	2021-11-05_732275_133617_data	F9	Z-BigDyeV3	2021-11-06 02:02:10	2021-11-06 03:53:18	runs/2021-11-05_732275_133617_data/VR3-C7_VRI_primer_2__2021-11-06_F09.ab1	2021-11-05
VR3-C4-2021-11-05	VRI_primer_2	0	runs/2021-11-05_732275_133617_data/VR3-C4_VRI_primer_2__2021-11-06_E09.seq	-1429390090553901469	1000	2021-11-05_732275_133617_data	E9	Z-BigDyeV3	2021-11-06 02:02:10	2021-11-06 03:53:18	runs/2021-11-05_732275_133617_data/VR3-C4_VRI_primer_2__2021-11-06_E09.ab1	2021-11-05
VR-25-1-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-25-1_pFC9_t7_primer_1__2021-10-12_D10.seq	8950959243196972702	1000	2021-10-11_725945_132047_data	D10	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-25-1_pFC9_t7_primer_1__2021-10-12_D10.ab1	2021-10-11
VR-12-1-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-12-1_pFC9_t7_primer_1__2021-10-12_A09.seq	3095330829712475731	1000	2021-10-11_725945_132047_data	A9	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-12-1_pFC9_t7_primer_1__2021-10-12_A09.ab1	2021-10-11
VR-17-C1-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-17-C1_pFC9_t7_primer_1__2021-10-12_F10.seq	3211314531081472673	1000	2021-10-11_725945_132047_data	F10	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-17-C1_pFC9_t7_primer_1__2021-10-12_F10.ab1	2021-10-11
VR-27-C1-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-27-C1_pFC9_t7_primer_1__2021-10-12_B11.seq	8484380339658761795	1000	2021-10-11_725945_132047_data	B11	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-27-C1_pFC9_t7_primer_1__2021-10-12_B11.ab1	2021-10-11
VR-17-C3-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-17-C3_pFC9_t7_primer_1__2021-10-12_H10.seq	-2766831190202478684	1000	2021-10-11_725945_132047_data	H10	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-17-C3_pFC9_t7_primer_1__2021-10-12_H10.ab1	2021-10-11
VR-23-2-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-23-2_pFC9_t7_primer_1__2021-10-12_B10.seq	1702263120424094127	1000	2021-10-11_725945_132047_data	B10	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-23-2_pFC9_t7_primer_1__2021-10-12_B10.ab1	2021-10-11
VR-12-2-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-12-2_pFC9_t7_primer_1__2021-10-12_B09.seq	4305439612197008029	1000	2021-10-11_725945_132047_data	B9	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-12-2_pFC9_t7_primer_1__2021-10-12_B09.ab1	2021-10-11
VR-15-2-2021-10-11	pFC9_t7_primer_1	105	runs/2021-10-11_725945_132047_data/VR-15-2_pFC9_t7_primer_1__2021-10-12_E09.seq	8508813097834806638	1000	2021-10-11_725945_132047_data	E9	Z-BigDyeV3	2021-10-12 05:15:41	2021-10-12 07:06:46	runs/2021-10-11_725945_132047_data/VR-15-2_pFC9_t7_primer_1__2021-10-12_E09.ab1	2021-10-11
